pairs,datetime,orderbook,price,amounts
LTCEUR,"2022-03-02, 11:02:55",ask,117.0,17.73
LTCEUR,"2022-03-02, 11:02:55",ask,117.08,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,117.15,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,117.3,0.25
LTCEUR,"2022-03-02, 11:02:55",ask,117.49,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,117.53,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,117.62,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,117.71,0.33
LTCEUR,"2022-03-02, 11:02:55",ask,117.87,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,117.9,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,117.98,0.22
LTCEUR,"2022-03-02, 11:02:55",ask,118.18,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,118.2,0.27
LTCEUR,"2022-03-02, 11:02:55",ask,118.31,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,118.4,1.24
LTCEUR,"2022-03-02, 11:02:55",ask,118.45,1.49
LTCEUR,"2022-03-02, 11:02:55",ask,118.51,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,118.73,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,119.14,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,119.24,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,119.46,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,119.56,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,119.97,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,120.0,2.0
LTCEUR,"2022-03-02, 11:02:55",ask,120.39,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,120.64,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,120.81,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,121.24,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,121.66,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,121.98,25.94
LTCEUR,"2022-03-02, 11:02:55",ask,122.0,14.62
LTCEUR,"2022-03-02, 11:02:55",ask,122.05,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,122.08,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,122.2,0.96
LTCEUR,"2022-03-02, 11:02:55",ask,122.51,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,122.94,0.27
LTCEUR,"2022-03-02, 11:02:55",ask,123.0,0.39
LTCEUR,"2022-03-02, 11:02:55",ask,123.36,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,123.47,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,123.49,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,123.8,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,123.9,0.4
LTCEUR,"2022-03-02, 11:02:55",ask,124.0,0.55
LTCEUR,"2022-03-02, 11:02:55",ask,124.1,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,124.23,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,124.65,0.19
LTCEUR,"2022-03-02, 11:02:55",ask,124.66,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,124.91,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,125.04,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,125.1,0.26
LTCEUR,"2022-03-02, 11:02:55",ask,125.38,0.25
LTCEUR,"2022-03-02, 11:02:55",ask,125.53,0.26
LTCEUR,"2022-03-02, 11:02:55",ask,125.78,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,125.97,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,126.0,0.25
LTCEUR,"2022-03-02, 11:02:55",ask,126.03,0.21
LTCEUR,"2022-03-02, 11:02:55",ask,126.15,0.2
LTCEUR,"2022-03-02, 11:02:55",ask,126.16,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,126.36,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,126.37,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,126.42,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,126.63,0.56
LTCEUR,"2022-03-02, 11:02:55",ask,126.83,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,126.85,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,126.97,0.23
LTCEUR,"2022-03-02, 11:02:55",ask,127.0,0.8
LTCEUR,"2022-03-02, 11:02:55",ask,127.04,0.29
LTCEUR,"2022-03-02, 11:02:55",ask,127.29,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,127.44,0.16
LTCEUR,"2022-03-02, 11:02:55",ask,127.66,0.38
LTCEUR,"2022-03-02, 11:02:55",ask,127.75,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,127.84,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,128.07,0.18
LTCEUR,"2022-03-02, 11:02:55",ask,128.19,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,128.63,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,128.8,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,129.09,0.15
LTCEUR,"2022-03-02, 11:02:55",ask,129.33,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,129.45,0.11
LTCEUR,"2022-03-02, 11:02:55",ask,129.46,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,129.54,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,129.98,0.28
LTCEUR,"2022-03-02, 11:02:55",ask,130.0,39.95
LTCEUR,"2022-03-02, 11:02:55",ask,130.09,0.12
LTCEUR,"2022-03-02, 11:02:55",ask,130.17,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,130.37,0.74
LTCEUR,"2022-03-02, 11:02:55",ask,130.49,0.26
LTCEUR,"2022-03-02, 11:02:55",ask,130.83,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,130.84,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,131.02,0.24
LTCEUR,"2022-03-02, 11:02:55",ask,131.89,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,132.37,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,132.86,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,133.41,0.14
LTCEUR,"2022-03-02, 11:02:55",ask,133.91,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,134.47,0.13
LTCEUR,"2022-03-02, 11:02:55",ask,134.97,0.1
LTCEUR,"2022-03-02, 11:02:55",ask,135.08,0.17
LTCEUR,"2022-03-02, 11:02:55",ask,135.14,0.13
