fund_id,open,high,low,close,average,weighted_average,base_volume,traded_volume,interval_starts_at,interval_ends_at
BTCEUR,36441.97,36510.09,36400.0,36486.69,36452.984,36482.58462,5341.05037,0.1464,2022-02-06T21:00:00.000Z,2022-02-06T22:00:00.000Z
BTCEUR,36486.69,36491.59,36402.56,36404.0,36430.10041,36404.22339,5609.89081,0.1541,2022-02-06T22:00:00.000Z,2022-02-06T23:00:00.000Z
BTCEUR,36379.0,37279.11,36379.0,37086.17,36873.02458,36814.53643,114787.72454,3.118,2022-02-06T23:00:00.000Z,2022-02-07T00:00:00.000Z
BTCEUR,37086.17,37086.17,36504.0,36600.0,36746.94013,36718.56277,3146.78078,0.0857,2022-02-07T00:00:00.000Z,2022-02-07T01:00:00.000Z
BTCEUR,36600.0,36950.0,36600.0,36879.0,36803.72798,36896.90776,24307.68281,0.6588,2022-02-07T01:00:00.000Z,2022-02-07T02:00:00.000Z
BTCEUR,36879.0,37325.0,36879.0,37083.12,37148.67893,37077.37944,8905.9865,0.2402,2022-02-07T02:00:00.000Z,2022-02-07T03:00:00.000Z
BTCEUR,37083.12,37589.89,37083.12,37548.57,37369.46132,37403.56861,2191.84909,0.0586,2022-02-07T03:00:00.000Z,2022-02-07T04:00:00.000Z
BTCEUR,37548.57,37548.57,37548.57,37548.57,37548.57,37548.57,0.0,0.0,2022-02-07T04:00:00.000Z,2022-02-07T05:00:00.000Z
BTCEUR,37548.57,37594.3,37446.98,37446.98,37511.317,37512.60438,3004.75959,0.0801,2022-02-07T05:00:00.000Z,2022-02-07T06:00:00.000Z
BTCEUR,37446.98,37521.57,37405.61,37475.82,37490.902,37477.68766,13491.96752,0.36,2022-02-07T06:00:00.000Z,2022-02-07T07:00:00.000Z
BTCEUR,37475.82,37500.0,37329.0,37400.0,37423.78111,37410.47232,50911.91176,1.3609,2022-02-07T07:00:00.000Z,2022-02-07T08:00:00.000Z
BTCEUR,37400.0,37446.24,37294.21,37311.45,37353.18379,37367.18583,13695.07355,0.3665,2022-02-07T08:00:00.000Z,2022-02-07T09:00:00.000Z
BTCEUR,37311.45,37336.47,37061.64,37061.64,37195.49593,37303.43475,34304.23856,0.9196,2022-02-07T09:00:00.000Z,2022-02-07T10:00:00.000Z
BTCEUR,37061.64,37383.94,37061.64,37383.94,37263.39711,37320.16012,18689.93615,0.5008,2022-02-07T10:00:00.000Z,2022-02-07T11:00:00.000Z
BTCEUR,37383.94,37449.23,37355.99,37394.73,37414.91312,37430.01868,2912.05543,0.0778,2022-02-07T11:00:00.000Z,2022-02-07T12:00:00.000Z
BTCEUR,37400.0,37400.0,37218.66,37304.0,37326.75133,37340.63465,12438.16537,0.3331,2022-02-07T12:00:00.000Z,2022-02-07T13:00:00.000Z
BTCEUR,37304.0,37493.86,37304.0,37489.53,37448.60625,37446.24511,9867.08555,0.2635,2022-02-07T13:00:00.000Z,2022-02-07T14:00:00.000Z
BTCEUR,37489.53,38005.33,37489.53,38005.33,37737.49914,37625.00091,44897.91349,1.1933,2022-02-07T14:00:00.000Z,2022-02-07T15:00:00.000Z
BTCEUR,38014.11,38443.27,37811.74,38442.57,38115.92592,38089.3184,128821.88369,3.3821,2022-02-07T15:00:00.000Z,2022-02-07T16:00:00.000Z
BTCEUR,38447.93,38500.0,38178.74,38420.8,38349.69005,38379.54411,24025.59452,0.626,2022-02-07T16:00:00.000Z,2022-02-07T17:00:00.000Z
BTCEUR,38406.87,38786.39,38292.62,38786.39,38492.09681,38489.28404,68510.92555,1.78,2022-02-07T17:00:00.000Z,2022-02-07T18:00:00.000Z
BTCEUR,38786.39,38950.0,38365.47,38694.46,38694.44177,38731.71278,81445.04552,2.1028,2022-02-07T18:00:00.000Z,2022-02-07T19:00:00.000Z
BTCEUR,38684.64,38976.94,38554.0,38779.0,38815.74622,38917.02253,77094.62156,1.981,2022-02-07T19:00:00.000Z,2022-02-07T20:00:00.000Z
BTCEUR,38779.0,38949.99,38438.91,38625.0,38664.07672,38743.74069,68878.62216,1.7778,2022-02-07T20:00:00.000Z,2022-02-07T21:00:00.000Z
